direction_group,layer,seed,signal_scale,sae_latents,l1_coef,condition,mean_recovery,median_recovery,min_recovery,max_recovery,frac_recovered,mean_snr
strong,4,1,0.005,512,0.001,standard_L1_K512_mixed,0.051405185958130074,0.050350175096348614,0.04541768320841976,0.05800854268839878,0.0,3.6451666666666664
strong,4,1,0.005,512,0.001,topK20_K512_mixed,0.055350492962088944,0.056610569978959954,0.043656895681323415,0.06388946802671525,0.0,3.6451666666666664
strong,4,1,0.005,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,1,0.005,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,1,0.005,512,0.001,random_pair_delta_control,0.05356391594205911,0.05295897007429022,0.04496533223698445,0.06202950138730129,0.0,3.6451666666666664
strong,4,2,0.005,512,0.001,standard_L1_K512_mixed,0.05265154683191043,0.051948867413638924,0.046242423891128204,0.0605704113082949,0.0,3.6451666666666664
strong,4,2,0.005,512,0.001,topK20_K512_mixed,0.04809046134302905,0.047837821560018326,0.04254597677958558,0.053782501611299396,0.0,3.6451666666666664
strong,4,2,0.005,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,2,0.005,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,2,0.005,512,0.001,random_pair_delta_control,0.05705423161792648,0.05883843426162539,0.04730122306355588,0.06152467726939305,0.0,3.6451666666666664
strong,4,0,0.005,2048,0.001,standard_L1_K2048_mixed,0.07534930374157446,0.07506408050603419,0.061075477227214243,0.09025463819633486,0.0,3.6451666666666664
strong,4,0,0.005,2048,0.001,topK20_K2048_mixed,0.06744347632938479,0.06992877709995951,0.05646399861645425,0.07548067995719583,0.0,3.6451666666666664
strong,4,0,0.005,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,0,0.005,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,0,0.005,2048,0.001,random_pair_delta_control,0.06069309225260363,0.062408240064975265,0.053907461290936244,0.06590110126912732,0.0,3.6451666666666664
strong,4,1,0.005,2048,0.001,standard_L1_K2048_mixed,0.057758775169595065,0.05837434292023107,0.049218324877745155,0.06356067312672618,0.0,3.6451666666666664
strong,4,1,0.005,2048,0.001,topK20_K2048_mixed,0.05817726136583984,0.057367925345027646,0.0525034813523545,0.06718635099962211,0.0,3.6451666666666664
strong,4,1,0.005,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,1,0.005,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,1,0.005,2048,0.001,random_pair_delta_control,0.06134401485756643,0.06282707236366158,0.04607151970431457,0.0723477053357005,0.0,3.6451666666666664
strong,4,2,0.005,2048,0.001,standard_L1_K2048_mixed,0.06294882596176916,0.06160098307535153,0.05773112377860576,0.07093949268223042,0.0,3.6451666666666664
strong,4,2,0.005,2048,0.001,topK20_K2048_mixed,0.05326522896545949,0.05155103128651371,0.04519921282915818,0.06606087559586556,0.0,3.6451666666666664
strong,4,2,0.005,2048,0.001,delta_K2048,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,2,0.005,2048,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,2,0.005,2048,0.001,random_pair_delta_control,0.062288003236644206,0.06310511878006152,0.05223124030221557,0.07565557026248373,0.0,3.6451666666666664
strong,4,0,0.01,512,0.001,standard_L1_K512_mixed,0.0668669136849127,0.06292175298037808,0.05940064649285761,0.0786970205830885,0.0,3.6451666666666664
strong,4,0,0.01,512,0.001,topK20_K512_mixed,0.060576866233189225,0.061964617255678346,0.04791976284298382,0.07385241322798991,0.0,3.6451666666666664
strong,4,0,0.01,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,0,0.01,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,0,0.01,512,0.001,random_pair_delta_control,0.04996003649752354,0.04885094416569796,0.044565793263120816,0.057777766804525066,0.0,3.6451666666666664
strong,4,1,0.01,512,0.001,standard_L1_K512_mixed,0.0510306703257343,0.04994530409020148,0.0459291147401436,0.057745990500396145,0.0,3.6451666666666664
strong,4,1,0.01,512,0.001,topK20_K512_mixed,0.045845582240924394,0.046009434629655094,0.04006477536207345,0.05287534047262063,0.0,3.6451666666666664
strong,4,1,0.01,512,0.001,delta_K512,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,1,0.01,512,0.001,random_label_control,0.0,0.0,0.0,0.0,0.0,3.6451666666666664
strong,4,1,0.01,512,0.001,random_pair_delta_control,0.053750012951822905,0.053098256264523,0.04525716188832029,0.0626305394133746,0.0,3.6451666666666664
strong,4,2,0.01,512,0.001,standard_L1_K512_mixed,0.05282544574409734,0.05189824152596563,0.04543812406564757,0.06147480727830513,0.0,3.6451666666666664
