source,condition,condition_label,direction_group,layer,sae_latents,signal_scale,public_sae_id,mean_allocation,median_allocation,min_allocation,max_allocation,frac_above_03,n
internal,delta,Your paired delta,random,8,512.0,0.05,,0.9578396141529083,0.9583836674690247,0.8941853523254395,0.9955761432647705,1.0,30
internal,delta,Your paired delta,random,8,2048.0,0.05,,0.5472494326035182,0.5257845461368561,0.44490018486976624,0.6759289026260376,1.0,30
internal,rand_pair,Your random-pair,random,8,512.0,0.05,,0.11593956341346101,0.11291200593113895,0.09356561303138726,0.14707452654838557,0.0,30
internal,rand_pair,Your random-pair,random,8,2048.0,0.05,,0.131518177340428,0.13471642881631846,0.10720501244068141,0.15407024025917052,0.0,30
internal,std_L1,Your L1 mixed,random,8,512.0,0.05,,0.11568704634904857,0.11245574057102199,0.0873882412910461,0.14932095110416407,0.0,30
internal,std_L1,Your L1 mixed,random,8,2048.0,0.05,,0.12739972516894335,0.12582920491695399,0.10806312859058373,0.1634558409452438,0.0,30
internal,topK20,Your TopK mixed,random,8,512.0,0.05,,0.11248667667309438,0.11033833101391789,0.09614159464836117,0.13868937194347378,0.0,30
internal,topK20,Your TopK mixed,random,8,2048.0,0.05,,0.12872286682327586,0.12627343535423274,0.10888886451721189,0.17220566570758813,0.0,30
public_sae,public_sae,Public JB SAE,random,8,,,blocks.9.hook_resid_pre,0.15092487037181854,0.14986705034971237,0.13612565398216248,0.1785077154636383,0.0,10
internal,delta,Your paired delta,weak,10,512.0,0.05,,0.9527043259143829,0.9603019237518311,0.8840934276580811,0.988414466381073,1.0,30
internal,delta,Your paired delta,weak,10,2048.0,0.05,,0.5352465846141179,0.5341384530067443,0.43143182396888735,0.6751787662506104,1.0,30
internal,rand_pair,Your random-pair,weak,10,512.0,0.05,,0.17697585076093672,0.17868170738220213,0.12600413560867305,0.2590594232082367,0.0,30
internal,rand_pair,Your random-pair,weak,10,2048.0,0.05,,0.16073908209800716,0.15829887390136715,0.1306575924158096,0.20586230754852292,0.0,30
internal,std_L1,Your L1 mixed,weak,10,512.0,0.05,,0.16887412031491594,0.16693962812423702,0.13055317699909205,0.2210905909538269,0.0,30
internal,std_L1,Your L1 mixed,weak,10,2048.0,0.05,,0.1543746287624041,0.15213448107242583,0.1232686340808868,0.19264056682586667,0.0,30
